"filename", "language", "Dart", "YAML", "Markdown", "JSON", "C++", "Swift", "XML", "HTML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\KijeviGombooc\Desktop\taboo\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\KijeviGombooc\Desktop\taboo\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 1, 12, 72
"c:\Users\KijeviGombooc\Desktop\taboo\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\KijeviGombooc\Desktop\taboo\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 11, 1, 42
"c:\Users\KijeviGombooc\Desktop\taboo\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\KijeviGombooc\Desktop\taboo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\KijeviGombooc\Desktop\taboo\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\KijeviGombooc\Desktop\taboo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\KijeviGombooc\Desktop\taboo\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\KijeviGombooc\Desktop\taboo\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 5, 30
"c:\Users\KijeviGombooc\Desktop\taboo\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\KijeviGombooc\Desktop\taboo\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\KijeviGombooc\Desktop\taboo\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\KijeviGombooc\Desktop\taboo\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\KijeviGombooc\Desktop\taboo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\KijeviGombooc\Desktop\taboo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\KijeviGombooc\Desktop\taboo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\KijeviGombooc\Desktop\taboo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\KijeviGombooc\Desktop\taboo\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\KijeviGombooc\Desktop\taboo\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\KijeviGombooc\Desktop\taboo\lib\main.dart", "Dart", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 6, 182
"c:\Users\KijeviGombooc\Desktop\taboo\lib\models\ClockPainter.dart", "Dart", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\KijeviGombooc\Desktop\taboo\lib\models\DBHelper.dart", "Dart", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 204
"c:\Users\KijeviGombooc\Desktop\taboo\lib\models\Formatter.dart", "Dart", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 106
"c:\Users\KijeviGombooc\Desktop\taboo\lib\models\Game.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\KijeviGombooc\Desktop\taboo\lib\models\Settings.dart", "Dart", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 96
"c:\Users\KijeviGombooc\Desktop\taboo\lib\models\Team.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\KijeviGombooc\Desktop\taboo\lib\models\Word.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\KijeviGombooc\Desktop\taboo\lib\screens\GameScreen.dart", "Dart", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 203
"c:\Users\KijeviGombooc\Desktop\taboo\lib\screens\LoadGameScreen.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 81
"c:\Users\KijeviGombooc\Desktop\taboo\lib\screens\MainMenuScreen.dart", "Dart", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 79
"c:\Users\KijeviGombooc\Desktop\taboo\lib\screens\SettingsScreen.dart", "Dart", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 142
"c:\Users\KijeviGombooc\Desktop\taboo\lib\screens\TeamsScreen.dart", "Dart", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 168
"c:\Users\KijeviGombooc\Desktop\taboo\lib\widgets\AlignedButton.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\KijeviGombooc\Desktop\taboo\lib\widgets\AlignedButtonWithScore.dart", "Dart", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 60
"c:\Users\KijeviGombooc\Desktop\taboo\lib\widgets\ClockWidget.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 108
"c:\Users\KijeviGombooc\Desktop\taboo\lib\widgets\GameOverWidget.dart", "Dart", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 97
"c:\Users\KijeviGombooc\Desktop\taboo\lib\widgets\GameRunningWidget.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 67
"c:\Users\KijeviGombooc\Desktop\taboo\lib\widgets\SteppableNumericInput.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Users\KijeviGombooc\Desktop\taboo\lib\widgets\WordWidget.dart", "Dart", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\KijeviGombooc\Desktop\taboo\lib\widgets\WordsReviewWidget.dart", "Dart", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 96
"c:\Users\KijeviGombooc\Desktop\taboo\pubspec.yaml", "YAML", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 43, 15, 86
"c:\Users\KijeviGombooc\Desktop\taboo\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\KijeviGombooc\Desktop\taboo\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 14, 6, 99
"c:\Users\KijeviGombooc\Desktop\taboo\web\manifest.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 1691, 28, 13, 168, 1, 12, 125, 79, 8, 92, 216, 235, 2668